Model,Group,Model_Number,Composite_Score_4
R1203TS231_5 v2,TS231,5,36.29958365551258
R1203TS272_1 v2,TS272,1,35.89480328662315
R1203TS235_5 v2,TS235,5,33.94495385482463
R1203TS400_1 v2,TS400,1,32.88909377340458
R1203TS167_2 v2,TS167,2,32.614365241509
R1203TS006_1 v2,TS006,1,32.611618847215574
R1203TS241_2 v2,TS241,2,32.57073204300001
R1203TS304_2 v2,TS304,2,32.57073204300001
R1203TS369_3 v2,TS369,3,32.53021915150731
R1203TS304_3 v2,TS304,3,32.52765953793778
R1203TS241_3 v2,TS241,3,32.52765953793778
R1203TS369_5 v2,TS369,5,32.33426633125363
R1203TS235_2 v2,TS235,2,32.27383484261302
R1203TS272_4 v2,TS272,4,32.078731066150326
R1203TS272_5 v2,TS272,5,32.025154793192556
R1203TS159_2 v2,TS159,2,31.852603332777296
R1203TS276_1 v2,TS276,1,31.822493687004265
R1203TS369_2 v2,TS369,2,31.77118880412557
R1203TS241_1 v2,TS241,1,31.470929023785164
R1203TS304_1 v2,TS304,1,31.470929023785164
R1203TS294_1 v2,TS294,1,31.470929023785164
R1203TS006_3 v2,TS006,3,31.404825380616852
R1203TS435_5 v2,TS435,5,31.369545620067562
R1203TS304_4 v2,TS304,4,31.24690422647467
R1203TS241_4 v2,TS241,4,31.24690422647467
R1203TS238_5 v2,TS238,5,31.161855226538318
R1203TS159_1 v2,TS159,1,27.386422387889674
R1203TS286_2 v2,TS286,2,13.286656189937489
R1203TS156_1 v2,TS156,1,12.723279932432744
R1203TS286_1 v2,TS286,1,12.508961731171116
R1203TS286_3 v2,TS286,3,12.202138730487972
R1203TS189_1 v2,TS189,1,11.87625545380917
R1203TS165_1 v2,TS165,1,11.688163234269911
R1203TS317_4 v2,TS317,4,11.549565993307219
R1203TS481_4 v2,TS481,4,11.46654808219617
R1203TS241_5 v2,TS241,5,11.3968125662
R1203TS304_5 v2,TS304,5,11.3968125662
R1203TS294_2 v2,TS294,2,11.275472307011583
R1203TS481_3 v2,TS481,3,11.243431573782253
R1203TS317_5 v2,TS317,5,11.185742812538953
R1203TS183_2 v2,TS183,2,11.142824676540904
R1203TS338_5 v2,TS338,5,11.103138843831633
R1203TS369_4 v2,TS369,4,10.965085735048632
R1203TS261_3 v2,TS261,3,10.932475742827263
R1203TS063_1 v2,TS063,1,10.907203828893705
R1203TS294_4 v2,TS294,4,10.887336823805233
R1203TS417_5 v2,TS417,5,10.833754427245648
R1203TS417_2 v2,TS417,2,10.833672508661781
R1203TS456_4 v2,TS456,4,10.81547070388408
R1203TS063_3 v2,TS063,3,10.787890460026857
R1203TS165_3 v2,TS165,3,10.785253617090465
R1203TS435_6 v2,TS435,6,10.756927746345658
R1203TS238_3 v2,TS238,3,10.708356674939498
R1203TS183_5 v2,TS183,5,10.670022736316499
R1203TS006_4 v2,TS006,4,10.601716960948478
R1203TS435_3 v2,TS435,3,10.572075993092671
R1203TS435_2 v2,TS435,2,10.533552241270431
R1203TS238_2 v2,TS238,2,10.500134608267697
R1203TS294_3 v2,TS294,3,10.475392740157858
R1203TS165_2 v2,TS165,2,10.416696041456342
R1203TS063_5 v2,TS063,5,10.3392482102692
R1203TS338_1 v2,TS338,1,10.255266235433563
R1203TS006_5 v2,TS006,5,10.25081376029986
R1203TS006_2 v2,TS006,2,10.229939348179332
R1203TS435_1 v2,TS435,1,10.223377928605014
R1203TS338_4 v2,TS338,4,10.188770408309514
R1203TS063_2 v2,TS063,2,10.158046376125451
R1203TS189_2 v2,TS189,2,10.107859344203865
R1203TS159_4 v2,TS159,4,9.981321474321124
R1203TS481_5 v2,TS481,5,9.968610736227014
R1203TS063_4 v2,TS063,4,9.91537184345658
R1203TS189_4 v2,TS189,4,9.82332063406419
R1203TS183_4 v2,TS183,4,9.777339541177657
R1203TS456_1 v2,TS456,1,9.770256913903284
R1203TS231_2 v2,TS231,2,9.757445561729122
R1203TS052_1 v2,TS052,1,9.73282618043363
R1203TS481_1 v2,TS481,1,9.680541548380543
R1203TS338_2 v2,TS338,2,9.658486058090926
R1203TS189_3 v2,TS189,3,9.617588681584506
R1203TS481_2 v2,TS481,2,9.553573623556138
R1203TS028_3 v2,TS028,3,9.509504987209697
R1203TS052_5 v2,TS052,5,9.494275574377069
R1203TS238_4 v2,TS238,4,9.480176203332329
R1203TS294_5 v2,TS294,5,9.453145188564841
R1203TS165_5 v2,TS165,5,9.40607136676238
R1203TS417_4 v2,TS417,4,9.385370285749813
R1203TS435_4 v2,TS435,4,9.384691690787486
R1203TS338_3 v2,TS338,3,9.3568482652961
R1203TS159_5 v2,TS159,5,9.2761057366
R1203TS358_1 v2,TS358,1,9.262957771857739
R1203TS286_5 v2,TS286,5,9.261426316519755
R1203TS261_1 v2,TS261,1,9.258181920409104
R1203TS272_3 v2,TS272,3,9.2365553008
R1203TS448_5 v2,TS448,5,9.236329334130069
R1203TS267_5 v2,TS267,5,9.232721065860463
R1203TS286_4 v2,TS286,4,9.155102807956034
R1203TS267_2 v2,TS267,2,9.06884191985909
R1203TS267_4 v2,TS267,4,8.853981726761281
R1203TS189_5 v2,TS189,5,8.844748517617282
R1203TS456_2 v2,TS456,2,8.827573314737652
R1203TS052_2 v2,TS052,2,8.81540969992976
R1203TS231_1 v2,TS231,1,8.796475941995865
R1203TS267_1 v2,TS267,1,8.77553914602793
R1203TS159_3 v2,TS159,3,8.73949665220187
R1203TS110_1 v2,TS110,1,8.7018378691703
R1203TS261_4 v2,TS261,4,8.6505806072
R1203TS358_4 v2,TS358,4,8.624609778387983
R1203TS238_1 v2,TS238,1,8.624436884935704
R1203TS358_2 v2,TS358,2,8.571552955280376
R1203TS156_5 v2,TS156,5,8.554138272972502
R1203TS167_3 v2,TS167,3,8.546078074732682
R1203TS450_2 v2,TS450,2,8.496261627693828
R1203TS358_3 v2,TS358,3,8.487769343383817
R1203TS450_1 v2,TS450,1,8.437502975561777
R1203TS231_3 v2,TS231,3,8.2511543134
R1203TS169_4 v2,TS169,4,8.2280041822
R1203TS110_3 v2,TS110,3,8.205381741803414
R1203TS462_5 v2,TS462,5,8.205381741803414
R1203TS267_3 v2,TS267,3,8.143962901404544
R1203TS183_1 v2,TS183,1,8.119134638800002
R1203TS450_3 v2,TS450,3,8.093808136939256
R1203TS462_3 v2,TS462,3,8.089744866340313
R1203TS448_1 v2,TS448,1,8.084387340619443
R1203TS235_4 v2,TS235,4,8.075011274396992
R1203TS156_4 v2,TS156,4,8.067652125268456
R1203TS272_2 v2,TS272,2,8.066307760026818
R1203TS417_1 v2,TS417,1,8.052188170720147
R1203TS462_1 v2,TS462,1,8.034508759822277
R1203TS261_5 v2,TS261,5,8.024570415673534
R1203TS235_1 v2,TS235,1,8.000050604221489
R1203TS235_3 v2,TS235,3,7.961269330078851
R1203TS165_4 v2,TS165,4,7.946545768969045
R1203TS358_5 v2,TS358,5,7.925232840990037
R1203TS110_5 v2,TS110,5,7.89677780316147
R1203TS028_1 v2,TS028,1,7.891340413411473
R1203TS462_4 v2,TS462,4,7.885758044972616
R1203TS052_3 v2,TS052,3,7.8837485181600355
R1203TS110_4 v2,TS110,4,7.857586802761463
R1203TS367_1 v2,TS367,1,7.775042730127838
R1203TS110_2 v2,TS110,2,7.6740128487884665
R1203TS462_2 v2,TS462,2,7.6740128487884665
R1203TS231_4 v2,TS231,4,7.5962594681395545
R1203TS450_4 v2,TS450,4,7.587506804293217
R1203TS261_2 v2,TS261,2,7.522519328727713
R1203TS456_5 v2,TS456,5,7.2413233723143
R1203TS167_5 v2,TS167,5,7.213768597703945
R1203TS167_4 v2,TS167,4,7.170024350574972
R1203TS183_3 v2,TS183,3,7.115022279914487
R1203TS450_5 v2,TS450,5,7.068750485978512
R1203TS167_1 v2,TS167,1,6.941602915379714
R1203TS169_2 v2,TS169,2,6.73350525858312
R1203TS169_3 v2,TS169,3,6.5895022307838165
R1203TS169_5 v2,TS169,5,6.467331439618303
R1203TS028_2 v2,TS028,2,6.453848935034335
R1203TS448_2 v2,TS448,2,6.055134898706248
R1203TS052_4 v2,TS052,4,5.622155189117406
R1203TS169_1 v2,TS169,1,5.343755196950797
R1203TS448_3 v2,TS448,3,4.999365746770389
R1203TS298_1 v2,TS298,1,3.4247233962786034
R1203TS423_1 v2,TS423,1,3.4247233962786034
R1203TS403_1 v2,TS403,1,3.3893942318
R1203TS317_2 v2,TS317,2,3.3783713179029085
R1203TS448_4 v2,TS448,4,3.263969328366758
R1203TS208_1 v2,TS208,1,3.0567279497325712
R1203TS417_3 v2,TS417,3,2.9355165152866327
R1203TS317_3 v2,TS317,3,2.1318513600373077
R1203TS094_5 v2,TS094,5,1.9931085652
R1203TS028_4 v2,TS028,4,1.3287974277963637
R1203TS094_3 v2,TS094,3,1.0733987343396627
R1203TS094_1 v2,TS094,1,1.0012601163824602
R1203TS369_1 v2,TS369,1,0.42899238919693755
R1203TS094_2 v2,TS094,2,0.40000741844700566
R1203TS094_4 v2,TS094,4,0.21000298061861003
R1203TS456_3 v2,TS456,3,0.14351000636003614
R1203TS156_3 v2,TS156,3,0.11819397899999998
R1203TS156_2 v2,TS156,2,0.007754092999999999
R1203TS317_1 v2,TS317,1,0.0026079534756048525
R1203TS306_1 v2,TS306,1,5.906196034832507e-05
R1203TS033_5 v2,TS033,5,1.1114753474199051e-09
R1203TS033_2 v2,TS033,2,1.1114753474199051e-09
R1203TS033_1 v2,TS033,1,1.1114753474199051e-09
R1203TS033_4 v2,TS033,4,1.1114753474199051e-09
R1203TS033_3 v2,TS033,3,1.1114753474199051e-09
