Model,Global_GDT,Version,Group
T1239v1TS019_4.lga,52.2,v1,TS019
T1239v1TS462_1.lga,48.985,v1,TS462
T1239v1TS091_1.lga,47.166,v1,TS091
T1239v1TS022_5.lga,46.024,v1,TS022
T1239v1TS241_1.lga,45.347,v1,TS241
T1239v1TS425_4.lga,44.459,v1,TS425
T1239v1TS456_2.lga,44.289,v1,TS456
T1239v1TS052_2.lga,44.12,v1,TS052
T1239v1TS033_1.lga,43.993,v1,TS033
T1239v1TS110_1.lga,43.57,v1,TS110
T1239v1TS204_1.lga,43.528,v1,TS204
T1239v1TS304_2.lga,43.147,v1,TS304
T1239v1TS369_4.lga,43.105,v1,TS369
T1239v1TS481_2.lga,43.105,v1,TS481
T1239v1TS221_5.lga,42.936,v1,TS221
T1239v1TS419_5.lga,42.936,v1,TS419
T1239v1TS319_1.lga,42.893,v1,TS319
T1239v1TS235_1.lga,42.851,v1,TS235
T1239v1TS147_4.lga,42.851,v1,TS147
T1239v1TS314_2.lga,42.766,v1,TS314
T1239v1TS286_2.lga,42.766,v1,TS286
T1239v1TS294_1.lga,42.555,v1,TS294
T1239v1TS465_3.lga,42.555,v1,TS465
T1239v1TS287_3.lga,42.343,v1,TS287
T1239v1TS159_2.lga,42.259,v1,TS159
T1239v1TS325_2.lga,42.259,v1,TS325
T1239v1TS028_2.lga,42.132,v1,TS028
T1239v1TS331_2.lga,42.09,v1,TS331
T1239v1TS345_5.lga,42.09,v1,TS345
T1239v1TS051_5.lga,42.09,v1,TS051
T1239v1TS293_3.lga,42.005,v1,TS293
T1239v1TS079_3.lga,42.005,v1,TS079
T1239v1TS208_4.lga,41.963,v1,TS208
T1239v1TS450_1.lga,41.836,v1,TS450
T1239v1TS167_1.lga,41.836,v1,TS167
T1239v1TS298_1.lga,41.794,v1,TS298
T1239v1TS489_3.lga,41.794,v1,TS489
T1239v1TS262_2.lga,41.794,v1,TS262
T1239v1TS311_1.lga,41.582,v1,TS311
T1239v1TS267_4.lga,41.455,v1,TS267
T1239v1TS272_3.lga,41.244,v1,TS272
T1239v1TS212_3.lga,40.694,v1,TS212
T1239v1TS375_4.lga,40.567,v1,TS375
T1239v1TS231_2.lga,40.271,v1,TS231
T1239v1TS301_1.lga,40.186,v1,TS301
T1239v1TS198_2.lga,39.805,v1,TS198
T1239v1TS312_4.lga,39.594,v1,TS312
T1239v1TS148_4.lga,39.594,v1,TS148
T1239v1TS196_2.lga,39.467,v1,TS196
T1239v1TS015_4.lga,39.382,v1,TS015
T1239v1TS423_1.lga,39.171,v1,TS423
T1239v1TS122_2.lga,39.129,v1,TS122
T1239v1TS264_5.lga,38.663,v1,TS264
T1239v1TS397_1.lga,38.621,v1,TS397
T1239v1TS163_3.lga,38.579,v1,TS163
T1239v1TS040_3.lga,38.409,v1,TS040
T1239v1TS164_3.lga,38.367,v1,TS164
T1239v1TS145_5.lga,38.283,v1,TS145
T1239v1TS017_5.lga,38.283,v1,TS017
T1239v1TS023_5.lga,38.283,v1,TS023
T1239v1TS112_5.lga,38.198,v1,TS112
T1239v1TS388_3.lga,37.986,v1,TS388
T1239v1TS358_4.lga,37.817,v1,TS358
T1239v1TS014_3.lga,37.352,v1,TS014
T1239v1TS059_3.lga,37.31,v1,TS059
T1239v1TS139_3.lga,36.971,v1,TS139
T1239v1TS361_2.lga,29.949,v1,TS361
T1239v1TS120_4.lga,29.822,v1,TS120
T1239v1TS351_1.lga,24.281,v1,TS351
T1239v1TS105_3.lga,4.146,v1,TS105