Gr.Code,Model,lDDT
8,T1249v1TS008_4o,0.77
14,T1249v1TS014_1o,0.797
15,T1249v2TS015_1o,0.805
22,T1249v1TS022_5o,0.777
23,T1249v1TS023_3o,0.158
31,T1249v2TS031_5o,0.754
40,T1249v2TS040_3o,0.719
51,T1249v2TS051_4o,0.785
59,T1249v1TS059_1o,0.774
85,T1249v2TS085_5o,0.534
91,T1249v2TS091_4o,0.774
117,T1249v2TS117_2o,0.654
139,T1249v1TS139_5o,0.396
164,T1249v2TS164_5o,0.771
167,T1249v2TS167_2o,0.783
187,T1249v2TS187_1o,0.748
196,T1249v1TS196_1o,0.54
204,T1249v2TS204_3o,0.783
221,T1249v1TS221_1o,0.645
241,T1249v2TS241_5o,0.794
261,T1249v2TS261_1o,0.717
262,T1249v1TS262_5o,0.704
264,T1249v2TS264_1o,0.774
272,T1249v1TS272_3o,0.78
274,T1249v2TS274_1o,0.747
286,T1249v1TS286_1o,0.645
287,T1249v2TS287_1o,0.792
290,T1249v2TS290_1o,0.784
293,T1249v1TS293_2o,0.799
294,T1249v2TS294_3o,0.788
301,T1249v2TS301_1o,0.773
311,T1249v1TS311_3o,0.763
322,T1249v2TS322_1o,0.744
323,T1249v2TS323_1o,0.755
345,T1249v2TS345_5o,0.788
369,T1249v1TS369_3o,0.778
380,T1249v1TS380_3o,0.756
393,T1249v1TS393_3o,0.779
397,T1249v2TS397_1o,0.794
419,T1249v1TS419_1o,0.645
462,T1249v1TS462_1o,0.742
465,T1249v2TS465_3o,0.737
489,T1249v1TS489_3o,0.548
494,T1249v2TS494_5o,0.747